gene,mean_MCI,mean_AD,pct_MCI,pct_AD,log2FC,fold_change,pvalue,direction,p-value,avg_logFC,pct.1,pct.2,adjusted p-value,cluster,paper_source
HSP90AA1,0.2222222222222222,1.82444733420026,15.101721439749609,62.46207195491981,1.2084619826475498,2.310911455254758,4.059619898374256e-206,UP in AD,3.62367507445266e-70,0.987718827335924,0.886,0.664,4.44226327377151e-66,2.0,Table S10/11 (Donor 2018-135 AD)
HSPA1A,0.3419405320813771,1.809709579540529,22.183098591549296,65.92977893368011,1.0661002765216778,2.093766089010377,5.356278683784793e-190,UP in AD,2.5103675873295203e-67,0.980115963919106,0.809,0.523,3.07745962530726e-63,2.0,Table S10/11 (Donor 2018-135 AD)
HSPA1A,0.3419405320813771,1.809709579540529,22.183098591549296,65.92977893368011,1.0661002765216778,2.093766089010377,5.356278683784793e-190,UP in AD,0.000843822131194407,0.2546315699104669,0.23,0.188,1.0,0.0,Table S10/11 (Donor 2019-010 MCI)
HSPA1B,0.1619718309859155,0.564802774165583,11.22848200312989,30.73255309926311,0.4294057383504169,1.3466787511000775,1.4097831597650594e-33,UP in AD,1.38571991528858e-100,1.51423452782321,0.5859999999999999,0.164,1.69875404415227e-96,2.0,Table S10/11 (Donor 2018-135 AD)
HSPA1B,0.1619718309859155,0.564802774165583,11.22848200312989,30.73255309926311,0.4294057383504169,1.3466787511000775,1.4097831597650594e-33,UP in AD,1.22215824791213e-08,0.537488046297336,0.139,0.079,0.000170735507233324,0.0,Table S10/11 (Donor 2019-010 MCI)
DNAJB1,0.056338028169014,0.2882531426094495,4.420970266040689,16.818378846987432,0.2863445408644147,1.2195463083369456,5.691700238845496e-14,UP in AD,3.71290220319368e-57,1.50590369678926,0.3589999999999999,0.095,4.551646810895129e-53,2.0,Table S10/11 (Donor 2018-135 AD)
FOS,0.0676838810641627,0.247941048981361,4.264475743348982,13.87082791504118,0.2250652265533059,1.1688300920470354,5.952091323975769e-09,UP in AD,3.56049960183569e-30,1.20203102561718,0.247,0.077,4.3648164618903796e-26,2.0,Table S10/11 (Donor 2018-135 AD)
HSPA6,0.0449921752738654,0.2340702210663199,3.3255086071987483,9.53619419159081,0.2399323493711675,1.1809372838058831,0.0001424714350909,UP in AD,5.968534478141209e-31,1.45911187008662,0.196,0.048,7.31682641675331e-27,2.0,Table S10/11 (Donor 2018-135 AD)
JUN,0.1604068857589984,0.2093628088426528,11.267605633802818,14.347637624620718,0.0596163565259313,1.042188583749771,0.0679170102725689,UP in AD,1.05730535470388e-10,0.6489711793588269,0.1769999999999999,0.085,1.29615063433148e-06,2.0,Table S10/11 (Donor 2018-135 AD)
HSPA8,0.1478873239436619,0.1326397919375812,12.323943661971832,11.183355006501952,-0.0192919140893574,0.9867168739578928,0.487655344460337,DOWN in AD,1.33710909264022e-05,0.293517842735739,0.2919999999999999,0.221,0.1639162036667639,1.0,Table S10/11 (Donor 2018-135 AD)
COA1,0.0786384976525821,0.0754226267880364,6.533646322378717,6.805374945817079,-0.0043076998537481,0.9970185832681252,0.8876734006488324,DOWN in AD,,,,,,,
