"sheet_name","Table S6 Cluster-enriched genes of the identified 7 clusters with bc-Smart-seq2 single-cell RNA sequencing.","...3","...4","...5","...6","...7","...8","Table S10 Cluster-enriched genes of the identified 3 clusters of donor 2018-135 with 10X Genomics single-cell RNA sequencing.","Table S11 Cluster-enriched genes of the identified 3 clusters of donor 2019-010 with 10X Genomics single-cell RNA sequencing."
"Table S6","HSP90AA1","7.8769368552669207E-30","0.49641044489269898","0.65100000000000002","0.57099999999999995","1.40359137824001E-25","1",NA,NA
"Table S6","DNAJB1","2.2127194568003901E-16","0.48990439377059503","0.13600000000000001","8.4000000000000005E-2","3.9428448000726204E-12","1",NA,NA
"Table S6","HSPA1A","5.4911648784756296E-13","0.316086426237419","0.34899999999999998","0.29299999999999998","9.7847066969557293E-9","1",NA,NA
"Table S6","HSP90AB1","5.1044744487448198E-12","0.25144780811908701","0.41199999999999998","0.35599999999999998","9.0956630202183899E-8","1",NA,NA
"Table S10",NA,"1.33710909264022E-5","0.293517842735739","0.29199999999999998","0.221","0.16391620366676399","1","HSPA8",NA
"Table S10",NA,"1.3857199152885799E-100","1.5142345278232101","0.58599999999999997","0.16400000000000001","1.6987540441522701E-96","2","HSPA1B",NA
"Table S10",NA,"3.6236750744526598E-70","0.98771882733592398","0.88600000000000001","0.66400000000000003","4.4422632737715099E-66","2","HSP90AA1",NA
"Table S10",NA,"2.51036758732952E-67","0.98011596391910605","0.80900000000000005","0.52300000000000002","3.0774596253072602E-63","2","HSPA1A",NA
"Table S10",NA,"3.7129022031936801E-57","1.5059036967892601","0.35899999999999999","9.5000000000000001E-2","4.5516468108951301E-53","2","DNAJB1",NA
"Table S10",NA,"1.8384976675429899E-31","0.77983162441388898","0.79","0.61899999999999999","2.2538142906409502E-27","2","HSPB1",NA
"Table S10",NA,"5.9685344781412101E-31","1.4591118700866199","0.19600000000000001","4.8000000000000001E-2","7.3168264167533103E-27","2","HSPA6",NA
"Table S10",NA,"3.5604996018356897E-30","1.20203102561718","0.247","7.6999999999999999E-2","4.3648164618903802E-26","2","FOS",NA
"Table S10",NA,"1.05730535470388E-10","0.64897117935882698","0.17699999999999999","8.5000000000000006E-2","1.29615063433148E-6","2","JUN",NA
"Table S10",NA,"3.8645990723329502E-3","0.28938849875768002","0.25","0.20399999999999999","1","2","HSPE1",NA
"Table S11",NA,"1.2221582479121301E-8","0.53748804629733604","0.13900000000000001","7.9000000000000001E-2","1.7073550723332401E-4","0",NA,"HSPA1B"
"Table S11",NA,"8.4382213119440705E-4","0.25463156991046698","0.23","0.188","1","0",NA,"HSPA1A"
