feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type,significance,regulation,abs_log2FC
Chap1_Mam#DNA#hAT-Charlie,16.4657936809685,3.05733784730274,0.637624258657134,4.79488947572608,1.62764544393531e-06,0.00157596858831938,TE,padj < 0.01,Up in AD,3.05733784730274
MER70A#LTR#ERVL,72.5401259313094,-2.21144695516861,0.49231758868406,-4.49191133121955,7.0586812731089e-06,0.00359869685814128,TE,padj < 0.01,Down in AD,2.21144695516861
L1M3d#LINE#L1,19.3986254007273,6.21333216307713,1.39930701515675,4.44029229881415,8.98367733261143e-06,0.00363710593723154,TE,padj < 0.01,Up in AD,6.21333216307713
MER61B#LTR#ERV1,20.3872114593895,3.9111326794495,0.95088398329008,4.11315444174051,3.90289087187772e-05,0.00770969234932452,TE,padj < 0.01,Up in AD,3.9111326794495
MER4A1#LTR#ERV1,72.5904019008666,-3.12356698503709,0.805014899902831,-3.88013561663781,0.000104398238750432,0.0160534306530422,TE,padj < 0.05,Down in AD,3.12356698503709
Charlie4a#DNA#hAT-Charlie,194.676042552135,-2.70273198716238,0.708614153968477,-3.81410951506709,0.000136674853768586,0.0175643943941645,TE,padj < 0.05,Down in AD,2.70273198716238
MER4E1#LTR#ERV1,93.8955505728681,-3.30691026841436,0.874274273809571,-3.78246320117004,0.000155284055464154,0.0181684049188248,TE,padj < 0.05,Down in AD,3.30691026841436
(TGAA)n#Simple_repeat#Simple_repeat,57.8287526806517,-1.58257966092935,0.443065352985991,-3.57188764651472,0.000354417463531995,0.0299826594522291,TE,padj < 0.05,Down in AD,1.58257966092935
G-rich#Low_complexity#Low_complexity,209.117845450551,-2.3699083229458,0.68375461438362,-3.46602168832481,0.000528220668236603,0.0399193966342009,TE,padj < 0.05,Down in AD,2.3699083229458
(CTAT)n#Simple_repeat#Simple_repeat,50.0339915667266,3.42929227589102,0.9925709679967,3.4549592789444,0.000550375940914199,0.0410464583302853,TE,padj < 0.05,Up in AD,3.42929227589102
MamGypLTR1d#LTR#Gypsy,8.33563952600299,3.51041402719807,1.01774986765115,3.44919133745475,0.000562268136460982,0.0411008692702442,TE,padj < 0.05,Up in AD,3.51041402719807
(GAAA)n#Simple_repeat#Simple_repeat,54.7545653089909,-2.76067719426968,0.820690791626811,-3.36384570466222,0.000768645027750678,0.0473552175792483,TE,padj < 0.05,Down in AD,2.76067719426968
Harlequin-int#LTR#ERV1,164.768754458419,-1.77639465858936,0.528621949937779,-3.36042545868262,0.000778225276779087,0.0474299018148803,TE,padj < 0.05,Down in AD,1.77639465858936
