GSM_ID,brain_region
GSM4403092,LPS
GSM4403093,LPS
GSM4403094,LPS
GSM4403095,LPS
GSM4403096,LPS
GSM4403097,LPS
GSM4403098,LPS
GSM4403099,LPS
GSM4403100,LPS
GSM4403101,LPS
GSM4403102,LPS
GSM4403103,LPS
GSM4403105,LPS
GSM4403106,LPS
GSM4403107,LPS
GSM4403108,LPS
GSM4403112,LPS
GSM4403113,LPS
GSM4403114,LPS
GSM4403115,LPS
GSM4403120,LPS
GSM4403121,LPS
GSM4403122,LPS
GSM4403123,LPS
GSM4403129,LPS
GSM4403130,LPS
GSM4403131,LPS
GSM4403132,LPS
GSM4403135,LPS
GSM4403136,LPS
GSM4403137,LPS
GSM4403138,LPS
GSM4403139,LPS
GSM4403140,LPS
GSM4403141,LPS
GSM4403144,LPS
GSM4403145,LPS
GSM4403146,LPS
GSM4403148,LPS
GSM4403149,LPS
GSM4403150,LPS
GSM4403151,LPS
GSM4403154,LPS
GSM4403155,LPS
GSM4403156,LPS
GSM4403158,LPS
GSM4403159,LPS
GSM4403160,LPS
GSM4403163,LPS
GSM4403164,LPS
GSM4403166,LPS
GSM4403167,LPS
GSM4403168,LPS
GSM4403169,LPS
GSM4403170,LPS
GSM4403171,LPS
GSM4403172,LPS
GSM4403175,LPS
GSM4403177,LPS
GSM4403178,LPS
GSM4403179,LPS
GSM4403180,LPS
GSM4403181,LPS
GSM4403183,LPS
GSM4403185,LPS
GSM4403186,LPS
GSM4403187,LPS
GSM4403188,LPS
GSM4403189,LPS
GSM4403190,LPS
GSM4403191,LPS
GSM4403192,LPS
GSM4403193,LPS
GSM4403194,LPS
GSM4403196,LPS
GSM4403197,LPS
GSM4403198,LPS
GSM4403199,LPS
GSM4403200,LPS
GSM4403201,LPS
GSM4403202,LPS
GSM4403203,LPS
GSM4403204,LPS
GSM4403205,LPS
GSM4403206,LPS
GSM4403207,LPS
GSM4403208,LPS
GSM4403209,LPS
GSM4403210,LPS
GSM4403211,LPS
GSM4403212,LPS
GSM4403213,LPS
GSM4403214,LPS
GSM4403215,LPS
GSM4403216,LPS
GSM4403217,LPS
GSM4403219,LPS
GSM4403220,LPS
GSM4403221,LPS
GSM4403222,LPS
GSM4403223,LPS
GSM4403224,LPS
GSM4403225,LPS
GSM4403226,LPS
GSM4403227,LPS
GSM4403228,LPS
GSM4403229,LPS
GSM4403230,LPS
GSM4403231,LPS
GSM4403232,LPS
GSM4403233,LPS
GSM4403234,LPS
GSM4403235,LPS
GSM4403236,LPS
GSM4403237,LPS
GSM4403238,LPS
GSM4403239,LPS
GSM4403240,LPS
GSM4403241,LPS
GSM4403242,LPS
GSM4403243,LPS
GSM4403244,LPS
GSM4403245,LPS
GSM4403246,LPS
GSM4403247,LPS
GSM4403248,LPS
GSM4403249,LPS
GSM4403250,LPS
GSM4403251,LPS
GSM4403252,LPS
GSM4403253,LPS
GSM4403254,LPS
GSM4403255,LPS
GSM4403256,LPS
GSM4403257,LPS
GSM4403258,LPS
GSM4403259,LPS
GSM4403260,LPS
GSM4403261,LPS
GSM4403262,LPS
GSM4403263,LPS
GSM4403264,LPS
GSM4403265,LPS
GSM4403266,LPS
GSM4403267,LPS
GSM4403268,LPS
GSM4403269,LPS
GSM4403270,LPS
GSM4403271,LPS
GSM4403272,LPS
GSM4403273,LPS
GSM4403274,LPS
GSM4403275,LPS
GSM4403276,LPS
GSM4403277,LPS
GSM4403278,LPS
GSM4403279,LPS
GSM4403280,LPS
GSM4403281,LPS
GSM4403282,LPS
GSM4403283,LPS
GSM4403284,LPS
GSM4403285,LPS
GSM4403286,LPS
GSM4403287,LPS
GSM4403288,GFS
GSM4403289,LPS
GSM4403290,GFS
GSM4403291,LPS
GSM4403292,GFS
GSM4403294,LPS
GSM4403295,GFS
GSM4403296,LPS
GSM4403297,LPS
GSM4403298,LPS
GSM4403299,GFS
GSM4403300,LPS
GSM4403301,GFS
GSM4403302,GFS
GSM4403304,LPS
GSM4403307,LPS
GSM4403308,GFS
GSM4403309,GFS
GSM4403310,LPS
GSM4403311,GFS
GSM4636679,GFS
GSM4636680,GFS
GSM4636681,LPS
GSM4636682,LPS
